"操作日(年)","操作日(月)","操作日(日)","操作時刻(時)","操作時刻(分)","操作時刻(秒)","取引順番号","摘要","お支払金額","お預り金額","残高","メモ"
"2025","9","1","1","27","34","0000101","決算お利息 8月分","","3","32",""
"2025","9","1","9","13","45","0000201","ＰＡＹＰＡＹ","","423874","423906",""
"2025","9","10","15","29","12","0000101","振込 プロスタイル（カ）イイダ　サカエ","423000","","906",""
"2025","9","10","15","29","12","0000102","振込手数料","145","","761",""
"2025","9","12","8","29","0","0000101","振込 プロスタイル（カ","","505000","505761",""
"2025","9","12","8","42","52","0000201","振込 ナゴヤ　ヒデキミ","57500","","448261",""
"2025","9","12","8","42","52","0000202","振込手数料","145","","448116",""
"2025","9","12","8","44","27","0000301","振込 カ．ブイコ－ポレ－シヨン","23000","","425116",""
"2025","9","12","8","44","27","0000302","振込手数料","145","","424971",""
"2025","9","12","8","45","29","0000401","振込 オオニシ　ケイジ","15500","","409471",""
"2025","9","12","8","46","41","0000501","振込 カミムラ　ユタカ","10500","","398971",""
"2025","9","12","8","46","41","0000502","振込手数料","145","","398826",""
"2025","9","12","8","48","2","0000601","振込 コロンキツチンネモトヒロミ","14500","","384326",""
"2025","9","12","8","48","2","0000602","振込手数料","145","","384181",""
"2025","9","12","8","53","31","0000701","振込 コバシ　タエコ","5500","","378681",""
"2025","9","12","8","53","31","0000702","振込手数料","145","","378536",""
"2025","9","12","8","54","50","0000801","振込 オフイスアモヨコアイハラコウイチ","20000","","358536",""
"2025","9","12","8","54","50","0000802","振込手数料","145","","358391",""
"2025","9","12","8","56","47","0000901","振込 スガヤ　カズキ","15000","","343391",""
"2025","9","12","8","56","47","0000902","振込手数料","145","","343246",""
"2025","9","12","8","58","43","0001001","振込 （カ）キウチコ－ポレ－シヨン　キウチ　マサミ","22500","","320746",""
"2025","9","12","8","58","43","0001002","振込手数料","145","","320601",""
"2025","9","12","8","59","39","0001101","振込 スガイ　ヨシコ","101500","","219101",""
"2025","9","12","8","59","39","0001102","振込手数料","145","","218956",""
"2025","9","12","9","0","45","0001201","振込 ナガイ　アキナ","5500","","213456",""
"2025","9","12","9","0","45","0001202","振込手数料","145","","213311",""
"2025","9","12","9","1","42","0001301","振込 ソメノ　シンジ","7000","","206311",""
"2025","9","12","9","1","42","0001302","振込手数料","145","","206166",""
"2025","9","12","9","2","48","0001401","振込 マツモト　ケン","101000","","105166",""
"2025","9","12","9","2","48","0001402","振込手数料","145","","105021",""
"2025","9","12","9","3","49","0001501","振込 コバヤシ　マリ","65500","","39521",""
"2025","9","12","9","3","49","0001502","振込手数料","145","","39376",""
"2025","9","12","9","4","42","0001601","振込 イワイ　イツミ","8500","","30876",""
"2025","9","12","9","4","42","0001602","振込手数料","145","","30731",""
"2025","9","12","9","5","47","0001701","振込 シイナ　ユウイチ","29000","","1731",""
"2025","9","12","9","5","47","0001702","振込手数料","145","","1586",""
"2025","10","1","0","15","31","0000101","決算お利息 9月分","","17","1603",""
"2025","10","1","9","11","32","0000201","ＰＡＹＰＡＹ","","294687","296290",""
"2025","10","10","9","41","42","0000101","振込 プロスタイル（カ）イイダ　サカエ","295000","","1290",""
"2025","10","10","9","41","42","0000102","振込手数料","145","","1145",""
"2025","11","1","0","15","33","0000101","決算お利息 10月分","","12","1157",""
"2025","11","1","9","7","37","0000201","ＰＡＹＰＡＹ","","390203","391360",""
"2025","11","7","10","35","23","0000101","振込 プロスタイル（カ）イイダ　サカエ","","1300000","1691360",""
"2025","11","10","4","31","27","0000101","振込 カ）テイ－マツプ","110000","","1581360",""
"2025","11","10","4","31","27","0000102","振込手数料","145","","1581215",""
"2025","11","10","4","31","27","0000201","振込 サカモト　アキヒコ","85800","","1495415",""
"2025","11","10","4","31","27","0000202","振込手数料","145","","1495270",""
"2025","11","10","4","31","27","0000301","振込 エフエムカシマシミンホウソウ（カ","22000","","1473270",""
"2025","11","10","4","31","27","0000302","振込手数料","145","","1473125",""
"2025","11","10","4","31","27","0000401","振込 （カ）オニオンシンブンシヤ　ヤマモト　ヒロシ","24750","","1448375",""
"2025","11","10","4","31","27","0000402","振込手数料","145","","1448230",""
"2025","11","10","4","31","27","0000501","振込 カ）クリ－ズコネクト","62040","","1386190",""
"2025","11","10","4","31","27","0000502","振込手数料","145","","1386045",""
"2025","11","10","4","31","27","0000601","振込 カ）　グリ－ン　フイ－ルド","55000","","1331045",""
"2025","11","10","4","31","27","0000602","振込手数料","145","","1330900",""
"2025","11","10","4","31","27","0000701","振込 カ．グロ－バルクリ－ン","50050","","1280850",""
"2025","11","10","4","31","27","0000702","振込手数料","145","","1280705",""
"2025","11","10","4","31","27","0000801","振込 （カ）スギヤマ　スギヤマ　ヨシタネ","23093","","1257612",""
"2025","11","10","4","31","27","0000802","振込手数料","145","","1257467",""
"2025","11","10","4","31","27","0000901","振込 カ）ダスキンツチウラ","53040","","1204427",""
"2025","11","10","4","31","27","0000902","振込手数料","145","","1204282",""
"2025","11","10","4","31","27","0001001","振込 カ）ニツセ－デリカ","2112","","1202170",""
"2025","11","10","4","31","27","0001002","振込手数料","145","","1202025",""
"2025","11","10","4","31","27","0001101","振込 （カ）ビ－エム　カシワクラ　ダイスケ","144677","","1057348",""
"2025","11","10","4","31","27","0001102","振込手数料","145","","1057203",""
"2025","11","10","4","31","27","0001201","振込 コバヤシ　トモカズ","247500","","809703",""
"2025","11","10","4","31","27","0001202","振込手数料","145","","809558",""
"2025","11","10","4","31","27","0001301","振込 タカツカ　マコト","11000","","798558",""
"2025","11","10","4","31","27","0001302","振込手数料","145","","798413",""
"2025","11","10","4","31","28","0001401","振込 ド）ジヨイント","15200","","783213",""
"2025","11","10","4","31","28","0001402","振込手数料","145","","783068",""
"2025","11","10","4","31","28","0001501","振込 ニシオレントオ－ル　（カ","101200","","681868",""
"2025","11","10","4","31","28","0001502","振込手数料","145","","681723",""
"2025","11","10","4","31","28","0001601","振込 ニホンビルメンケイエイヒンシツキヨウギカイ","20000","","661723",""
"2025","11","10","4","31","28","0001602","振込手数料","145","","661578",""
"2025","11","10","4","31","28","0001701","振込 ニホンハトタイサクセンタ－　（カ","264000","","397578",""
"2025","11","10","4","31","28","0001702","振込手数料","145","","397433",""
"2025","11","10","4","31","28","0001801","振込 ユ）ヒロセゾウエン","88000","","309433",""
"2025","11","10","4","31","28","0001802","振込手数料","145","","309288",""
"2025","11","10","4","31","28","0001901","振込 コウノ　リユウジ","300000","","9288",""
"2025","11","10","4","31","28","0001902","振込手数料","145","","9143",""
"2025","11","27","16","22","38","0000101","振込 プロスタイル（カ）イイダ　サカエ","","2720000","2729143",""
"2025","11","28","4","34","20","0000101","振込 カシマシヨクヒン（カ","208043","","2521100",""
"2025","11","28","4","34","20","0000102","振込手数料","145","","2520955",""
"2025","11","28","4","34","20","0000201","振込 ニホンシヨツケン（カ","16977","","2503978",""
"2025","11","28","4","34","20","0000202","振込手数料","145","","2503833",""
"2025","11","28","4","34","20","0000301","振込 カ）ヤマシヨク","13622","","2490211",""
"2025","11","28","4","34","20","0000302","振込手数料","145","","2490066",""
"2025","11","28","4","34","21","0000401","振込 カ）トウキヨウサエキ","44192","","2445874",""
"2025","11","28","4","34","21","0000402","振込手数料","145","","2445729",""
"2025","11","28","4","34","21","0000501","振込 カ）　ネツトプロテクシヨンズ","133019","","2312710",""
"2025","11","28","4","34","21","0000502","振込手数料","145","","2312565",""
"2025","11","28","4","34","21","0000601","振込 フジワラ　ヨシアキ","6844","","2305721",""
"2025","11","28","4","34","21","0000602","振込手数料","145","","2305576",""
"2025","11","28","4","34","21","0000701","振込 カ）ナメガタシロハトフア－ム","847837","","1457739",""
"2025","11","28","4","34","21","0000702","振込手数料","145","","1457594",""
"2025","11","28","4","34","22","0000801","振込 カ）カクタ","330000","","1127594",""
