入出金区分,取引日,金融機関名,口座,出金金額(円),入金金額(円),摘要,メモ,残高(円)
出金,2026/03/02,千葉銀行,小見川支店,9361,,デンワ７８,,1811450
出金,2026/03/02,千葉銀行,小見川支店,11880,,デンワ７７,,1799570
入金,2026/03/02,千葉銀行,小見川支店,,19800,シヤ）アントラ−ズホ−ム,,1819370
入金,2026/03/02,千葉銀行,小見川支店,,23100,ＡＤ,,1842470
出金,2026/03/02,千葉銀行,小見川支店,619865,,フツウ　ＷＥＢフリカエ,,1222605
出金,2026/03/03,千葉銀行,小見川支店,10318,,ミツイスミトモＦＬ（ＳＭＦ,,1212287
出金,2026/03/05,千葉銀行,小見川支店,30421,,カ）カタノシヨウテン,,1181866
出金,2026/03/09,千葉銀行,小見川支店,996778,,フツウ　ＷＥＢフリカエ,,185088
出金,2026/03/09,千葉銀行,小見川支店,96404,,フツウ　ＷＥＢフリカエ,,88684
出金,2026/03/12,千葉銀行,小見川支店,5830,,ＮＳ　ユウセン,,82854
入金,2026/03/12,千葉銀行,小見川支店,,263126,（ユ）ハナノレン　アラハリ,,345980
出金,2026/03/19,千葉銀行,小見川支店,345000,,フツウ　ＷＥＢフリカエ,,980
入金,2026/03/23,千葉銀行,小見川支店,,30820,カ）カシマコムカイ,,31800
出金,2026/03/23,千葉銀行,小見川支店,1307,,ＭＨＦ）セキシヨウ,,30493
出金,2026/03/25,千葉銀行,小見川支店,17270,,ＣＬＣリ−ス,,13223
入金,2026/03/25,千葉銀行,小見川支店,,220420,ロツクワ−クス,,233643
出金,2026/03/25,千葉銀行,小見川支店,37180,,ＣＬＣリ−ス,,196463
入金,2026/03/25,千葉銀行,小見川支店,,241487,トミヅカ　トシユキ,,437950
出金,2026/03/26,千葉銀行,小見川支店,46810,,ソンポジヤパン,,391140
出金,2026/03/26,千葉銀行,小見川支店,22550,,ＤＦ．ＡＬＳＯＫ２０００,,368590
出金,2026/03/26,千葉銀行,小見川支店,63470,,スイドウリヨウキン,,305120
入金,2026/03/26,千葉銀行,小見川支店,,236697,（カ）チイキカツセイシヤ,,541817
出金,2026/03/27,千葉銀行,小見川支店,1212,,トウキヨウデンリヨク,,540605
出金,2026/03/27,千葉銀行,小見川支店,238253,,ＡＰ（チイキソウセイ,,302352
出金,2026/03/27,千葉銀行,小見川支店,1408,,ＳＭＢＣ（カ）ネツトプロ,,300944
出金,2026/03/27,千葉銀行,小見川支店,1408,,ＳＭＢＣ（カ）ネツトプロ,,299536
入金,2026/03/27,千葉銀行,小見川支店,,227395,（ユ）ハナノレン　アラハリ,,526931
出金,2026/03/31,千葉銀行,小見川支店,8181,,デンワ７８,,518750
入金,2026/03/31,千葉銀行,小見川支店,,249048,テツパンヤキジロウ　カ,,767798
入金,2026/03/31,千葉銀行,小見川支店,,261817,フツウ　ＷＥＢフリカエ,,1029615
入金,2026/03/31,千葉銀行,小見川支店,,381854,フツウ　ＷＥＢフリカエ,,1411469
入金,2026/03/31,千葉銀行,小見川支店,,223482,フツウ　ＷＥＢフリカエ,,1634951
入金,2026/03/31,千葉銀行,小見川支店,,241685,フツウ　ＷＥＢフリカエ,,1876636
