入出金区分,取引日,金融機関名,口座,出金金額(円),入金金額(円),摘要,メモ,残高(円)
出金,2026/07/01,千葉銀行,小見川支店,175766,,ヘンサイ,,5610628
出金,2026/07/01,千葉銀行,小見川支店,362624,,ヘンサイ,,5248004
出金,2026/07/01,千葉銀行,小見川支店,147818,,ヘンサイ,,5100186
出金,2026/07/01,千葉銀行,小見川支店,111920,,ヘンサイ,,4988266
出金,2026/07/01,千葉銀行,小見川支店,245845,,ヘンサイ,,4742421
出金,2026/07/01,千葉銀行,小見川支店,500000,,ツミタテ,,4242421
出金,2026/07/02,千葉銀行,小見川支店,85557,,トヨタフアイナンス,,4156864
入金,2026/07/02,千葉銀行,小見川支店,,11047,ソンポジヤパン（カ,,4167911
出金,2026/07/03,千葉銀行,小見川支店,8580,,ミツイスミトモＦＬ（ＳＭＦ,,4159331
出金,2026/07/03,千葉銀行,小見川支店,83354,,ＲＫＳ．リクジソウゴウ,,4075977
出金,2026/07/06,千葉銀行,小見川支店,9130,,リコ−リ−ス,,4066847
出金,2026/07/06,千葉銀行,小見川支店,362726,,セイサクコウコ（コク）,,3704121
出金,2026/07/06,千葉銀行,小見川支店,1777,,ガスリヨウキン,,3702344
入金,2026/07/06,千葉銀行,小見川支店,,57870,ユ）コバヤシトリヨウ,,3760214
入金,2026/07/06,千葉銀行,小見川支店,,33000,カ）プラスワン,,3793214
入金,2026/07/06,千葉銀行,小見川支店,,1107663,フツウ　ＷＥＢフリカエ,,4900877
出金,2026/07/06,千葉銀行,小見川支店,3000550,,プロスタイル（カ　ＷＥＢ,,1900327
入金,2026/07/07,千葉銀行,小見川支店,,60500,ワタナベシカ,,1960827
出金,2026/07/08,千葉銀行,小見川支店,400550,,プロスタイル（カ　ＷＥＢ,,1560277
入金,2026/07/08,千葉銀行,小見川支店,,1210000,カ）シ−プラス,,2770277
入金,2026/07/08,千葉銀行,小見川支店,,33000,スズキ　ヒデカズ,,2803277
入金,2026/07/08,千葉銀行,小見川支店,,33000,ホツタ　アキヒロ,,2836277
入金,2026/07/09,千葉銀行,小見川支店,,13468,トウデンＰＧ　コウニユウ,,2849745
出金,2026/07/09,千葉銀行,小見川支店,200000,,ＣＤ,,2649745
出金,2026/07/10,千葉銀行,小見川支店,7520,,ムロタユリヨウ（カ）　ＷＥ,,2642225
出金,2026/07/10,千葉銀行,小見川支店,150480,,マスダ　マサノブ　ＷＥ,,2491745
入金,2026/07/10,千葉銀行,小見川支店,,149028,フツウ　ＷＥＢフリカエ,,2640773
入金,2026/07/10,千葉銀行,小見川支店,,6435,フツウ　ＷＥＢフリカエ,,2647208
入金,2026/07/10,千葉銀行,小見川支店,,300000,フツウ　ＷＥＢフリカエ,,2947208
出金,2026/07/10,千葉銀行,小見川支店,5500,,ＷＥＢ－ＥＢ,,2941708
出金,2026/07/10,千葉銀行,小見川支店,538175,,ＪＣＢ,,2403533
出金,2026/07/10,千葉銀行,小見川支店,7360,,ミツイスミトモカ－ド,,2396173
出金,2026/07/13,千葉銀行,小見川支店,18490,,ＮＳ　カイギシヨＧ,,2377683
出金,2026/07/14,千葉銀行,小見川支店,844798,,ＢＳ）フリ−カ−ド,,1532885
入金,2026/07/15,千葉銀行,小見川支店,,340505,ユ）ネツトクリ−ンヘルパ,,1873390
入金,2026/07/17,千葉銀行,小見川支店,,117068,カメイテンサ－ビス,,1990458
出金,2026/07/17,千葉銀行,小見川支店,100000,,ＣＤ,,1890458
出金,2026/07/21,千葉銀行,小見川支店,242,,カメイテンツウシンリヨウ,,1890216
入金,2026/07/21,千葉銀行,小見川支店,,118800,カ）ユウヤ,,2009016
入金,2026/07/21,千葉銀行,小見川支店,,2000000,フツウ　ＷＥＢフリカエ,,4009016
入金,2026/07/21,千葉銀行,小見川支店,,1000000,フツウ　ＷＥＢフリカエ,,5009016
入金,2026/07/21,千葉銀行,小見川支店,,1000000,フツウ　ＷＥＢフリカエ,,6009016
入金,2026/07/21,千葉銀行,小見川支店,,400000,フツウ　ＷＥＢフリカエ,,6409016
出金,2026/07/22,千葉銀行,小見川支店,17345,,キヨウエイカイ　ジブラ,,6391671
出金,2026/07/22,千葉銀行,小見川支店,55000,,ＮＳＳ．フオ−ゲル,,6336671
入金,2026/07/22,千葉銀行,小見川支店,,1562000,ヨシモトマツシユル−ム（カ,,7898671
出金,2026/07/23,千葉銀行,小見川支店,6085377,,キユウヨシキン,,1813294
出金,2026/07/23,千葉銀行,小見川支店,4840,,フリコミリヨウ,,1808454
入金,2026/07/24,千葉銀行,小見川支店,,1589500,カ）ニツセ－デリカ,,3397954
出金,2026/07/27,千葉銀行,小見川支店,15866,,ＡＰ（チイキソウセイ,,3382088
出金,2026/07/27,千葉銀行,小見川支店,45486,,ライフカ−ド（カ,,3336602
出金,2026/07/27,千葉銀行,小見川支店,47090,,ＰＧＢＳプルデンシヤル,,3289512
出金,2026/07/27,千葉銀行,小見川支店,13270,,ソンポジヤパン,,3276242
出金,2026/07/27,千葉銀行,小見川支店,34987,,ソンポジヤパン,,3241255
出金,2026/07/27,千葉銀行,小見川支店,80700,,ソンポジヤパン,,3160555
出金,2026/07/27,千葉銀行,小見川支店,3300,,ＤＦ．テイコクデ−タ,,3157255
出金,2026/07/27,千葉銀行,小見川支店,50000,,ＤＦ．カ）ピカピカ,,3107255
出金,2026/07/27,千葉銀行,小見川支店,69853,,ＤＦ．コモンリヨウ,,3037402
出金,2026/07/27,千葉銀行,小見川支店,10568,,ＭＨＦ）ハシモト．マルハ,,3026834
出金,2026/07/27,千葉銀行,小見川支店,23980,,ＣＬＣリ−ス,,3002854
出金,2026/07/27,千葉銀行,小見川支店,7348,,スイドウリヨウキン,,2995506
入金,2026/07/27,千葉銀行,小見川支店,,495000,タヤミ−トセンタ−（カ,,3490506
出金,2026/07/28,千葉銀行,小見川支店,1800550,,プロスタイル（カ　ＷＥＢ,,1689956
出金,2026/07/28,千葉銀行,小見川支店,273264,,ＰＥ　ロウドウホケンリヨ,,1416692
出金,2026/07/28,千葉銀行,小見川支店,23148,,ＰＥ　ロウドウホケンリヨ,,1393544
出金,2026/07/28,千葉銀行,小見川支店,111046,,ＰＥ　ロウドウホケンリヨ,,1282498
出金,2026/07/29,千葉銀行,小見川支店,3348,,トウキヨウデンリヨク,,1279150
入金,2026/07/29,千葉銀行,小見川支店,,132000,ユウ）アイテイオ−フアマシ,,1411150
入金,2026/07/29,千葉銀行,小見川支店,,1826000,ウイズマツドヒダマリ,,3237150
入金,2026/07/30,千葉銀行,小見川支店,,22000,ニホンパルエンジニアリ,,3259150
入金,2026/07/30,千葉銀行,小見川支店,,238810,チバビルメンテナンス（,,3497960
入金,2026/07/30,千葉銀行,小見川支店,,363000,フツウ　ＷＥＢフリカエ,,3860960
入金,2026/07/30,千葉銀行,小見川支店,,35773,フツウ　ＷＥＢフリカエ,,3896733
入金,2026/07/30,千葉銀行,小見川支店,,227070,フツウ　ＷＥＢフリカエ,,4123803
入金,2026/07/30,千葉銀行,小見川支店,,124355,フツウ　ＷＥＢフリカエ,,4248158
入金,2026/07/30,千葉銀行,小見川支店,,179664,フツウ　ＷＥＢフリカエ,,4427822
入金,2026/07/30,千葉銀行,小見川支店,,50974,フツウ　ＷＥＢフリカエ,,4478796
入金,2026/07/31,千葉銀行,小見川支店,,41250,ソウブキヨウキユウセンタ,,4520046
入金,2026/07/31,千葉銀行,小見川支店,,247139,エヌエスコウギヨウ（カ,,4767185
入金,2026/07/31,千葉銀行,小見川支店,,429880,サンコウ（カ,,5197065
入金,2026/07/31,千葉銀行,小見川支店,,1029045,カ）トウシンビルシステム,,6226110
出金,2026/07/31,千葉銀行,小見川支店,187656,,ヘンサイ,,6038454
出金,2026/07/31,千葉銀行,小見川支店,91000,,オミガワロ－タリ－クラフ,,5947454
入金,2026/07/31,千葉銀行,小見川支店,,41900,（カ）プロセミ　カトウ,,5989354
出金,2026/07/31,千葉銀行,小見川支店,17820,,セコム（カ）,,5971534
出金,2026/07/31,千葉銀行,小見川支店,1279122,,シヤカイホケンリヨウ,,4692412
出金,2026/07/31,千葉銀行,小見川支店,2446,,ドコモビジネスゴリ,,4689966
入金,2026/07/31,千葉銀行,小見川支店,,83079,フルヤニユウギヨウ（カ）,,4773045
入金,2026/07/31,千葉銀行,小見川支店,,99000,チバシヨウユ（カ）,,4872045
入金,2026/07/31,千葉銀行,小見川支店,,667755,ト－タルステイ．カ,,5539800
入金,2026/07/31,千葉銀行,小見川支店,,32771,イ）エイセイカイ,,5572571
入金,2026/07/31,千葉銀行,小見川支店,,110000,カ）モチヒコ,,5682571
入金,2026/07/31,千葉銀行,小見川支店,,59620,ユ）キツコウドウ,,5742191
入金,2026/07/31,千葉銀行,小見川支店,,44000,シヤ）ニホンカイジケンテ,,5786191
入金,2026/07/31,千葉銀行,小見川支店,,1007990,シナネンアクシア（カ,,6794181
入金,2026/07/31,千葉銀行,小見川支店,,145475,ヨコガワソリユ－シヨンサ,,6939656
入金,2026/07/31,千葉銀行,小見川支店,,1500000,ツミタテ,,8439656
出金,2026/07/31,千葉銀行,小見川支店,2370800,,,,6068856
出金,2026/07/31,千葉銀行,小見川支店,200000,,ＣＤ,,5868856
入金,2026/07/31,千葉銀行,小見川支店,,43840,カ）ツカサセツケイジムシ,,5912696
入金,2026/07/31,千葉銀行,小見川支店,,40150,カ）サンクマイル,,5952846
