入出金区分,取引日,金融機関名,口座,出金金額(円),入金金額(円),摘要,メモ,残高(円)
入金,2026/02/02,千葉銀行,小見川支店,,60880,ＡＤ,,144200
入金,2026/02/02,千葉銀行,小見川支店,,29210,ＡＤ,,173410
入金,2026/02/02,千葉銀行,小見川支店,,5880,ＡＤ,,179290
入金,2026/02/03,千葉銀行,小見川支店,,10680,ＡＤ,,189970
入金,2026/02/05,千葉銀行,小見川支店,,135322,カ）リクル−ト　ペイメン,,325292
出金,2026/02/05,千葉銀行,小見川支店,26303,,カ）カタノシヨウテン,,298989
入金,2026/02/05,千葉銀行,小見川支店,,8110,ＡＤ,,307099
入金,2026/02/06,千葉銀行,小見川支店,,43170,ＡＤ,,350269
入金,2026/02/09,千葉銀行,小見川支店,,33030,ＡＤ,,383299
入金,2026/02/09,千葉銀行,小見川支店,,36720,ＡＤ,,420019
入金,2026/02/10,千葉銀行,小見川支店,,26340,ＡＤ,,446359
入金,2026/02/12,千葉銀行,小見川支店,,48030,ＡＤ,,494389
入金,2026/02/13,千葉銀行,小見川支店,,12110,ＡＤ,,506499
入金,2026/02/16,千葉銀行,小見川支店,,699,リソク,,507198
入金,2026/02/16,千葉銀行,小見川支店,,158395,カ）リクル−ト　ペイメン,,665593
入金,2026/02/16,千葉銀行,小見川支店,,38290,ＡＤ,,703883
入金,2026/02/16,千葉銀行,小見川支店,,60790,ＡＤ,,764673
入金,2026/02/16,千葉銀行,小見川支店,,15160,ＡＤ,,779833
入金,2026/02/17,千葉銀行,小見川支店,,15510,ＡＤ,,795343
入金,2026/02/19,千葉銀行,小見川支店,,49030,ＡＤ,,844373
出金,2026/02/19,千葉銀行,小見川支店,15750,,ＣＤ,,828623
出金,2026/02/19,千葉銀行,小見川支店,820000,,フツウ　ＷＥＢフリカエ,,8623
入金,2026/02/20,千葉銀行,小見川支店,,64030,ＡＤ,,72653
入金,2026/02/24,千葉銀行,小見川支店,,72250,ＡＤ,,144903
入金,2026/02/24,千葉銀行,小見川支店,,77550,ＡＤ,,222453
入金,2026/02/24,千葉銀行,小見川支店,,61040,ＡＤ,,283493
入金,2026/02/24,千葉銀行,小見川支店,,34200,ＡＤ,,317693
入金,2026/02/26,千葉銀行,小見川支店,,177456,カ）リクル−ト　ペイメン,,495149
入金,2026/02/27,千葉銀行,小見川支店,,37800,ＡＤ,,532949
入金,2026/02/27,千葉銀行,小見川支店,,671545,フツウ　ＷＥＢフリカエ,,1204494
出金,2026/02/27,千葉銀行,小見川支店,335799,,フツウ　ＷＥＢフリカエ,,868695
