入出金区分,取引日,金融機関名,口座,出金金額(円),入金金額(円),摘要,メモ,残高(円)
入金,2026/02/02,千葉銀行,小見川支店,,11180,ＡＤ,,53109
入金,2026/02/02,千葉銀行,小見川支店,,16050,ＡＤ,,69159
入金,2026/02/02,千葉銀行,小見川支店,,6810,ＡＤ,,75969
入金,2026/02/03,千葉銀行,小見川支店,,2190,ＵＢＥＲ　ＥＡＴＳ　ＪＡＰ,,78159
入金,2026/02/03,千葉銀行,小見川支店,,3150,ＡＤ,,81309
入金,2026/02/05,千葉銀行,小見川支店,,61742,カ）リクル−ト　ペイメン,,143051
出金,2026/02/05,千葉銀行,小見川支店,10511,,カ）カタノシヨウテン,,132540
入金,2026/02/05,千葉銀行,小見川支店,,10520,ＡＤ,,143060
入金,2026/02/06,千葉銀行,小見川支店,,33345,カ）デマエカン,,176405
入金,2026/02/06,千葉銀行,小見川支店,,15980,ＡＤ,,192385
入金,2026/02/09,千葉銀行,小見川支店,,14630,ＡＤ,,207015
入金,2026/02/09,千葉銀行,小見川支店,,22170,ＡＤ,,229185
入金,2026/02/10,千葉銀行,小見川支店,,2310,ＵＢＥＲ　ＥＡＴＳ　ＪＡＰ,,231495
入金,2026/02/10,千葉銀行,小見川支店,,5310,ＡＤ,,236805
入金,2026/02/12,千葉銀行,小見川支店,,24420,ＡＤ,,261225
入金,2026/02/13,千葉銀行,小見川支店,,13010,ＡＤ,,274235
入金,2026/02/16,千葉銀行,小見川支店,,528,リソク,,274763
入金,2026/02/16,千葉銀行,小見川支店,,33122,カ）リクル−ト　ペイメン,,307885
入金,2026/02/16,千葉銀行,小見川支店,,29040,ＡＤ,,336925
入金,2026/02/16,千葉銀行,小見川支店,,35810,ＡＤ,,372735
入金,2026/02/16,千葉銀行,小見川支店,,12270,ＡＤ,,385005
入金,2026/02/17,千葉銀行,小見川支店,,3715,ＵＢＥＲ　ＥＡＴＳ　ＪＡＰ,,388720
入金,2026/02/17,千葉銀行,小見川支店,,14620,ＡＤ,,403340
入金,2026/02/19,千葉銀行,小見川支店,,18840,ＡＤ,,422180
出金,2026/02/19,千葉銀行,小見川支店,420000,,フツウ　ＷＥＢフリカエ,,2180
入金,2026/02/20,千葉銀行,小見川支店,,8780,ＡＤ,,10960
入金,2026/02/24,千葉銀行,小見川支店,,5717,ＵＢＥＲ　ＥＡＴＳ　ＪＡＰ,,16677
入金,2026/02/24,千葉銀行,小見川支店,,16060,ＡＤ,,32737
入金,2026/02/24,千葉銀行,小見川支店,,36350,ＡＤ,,69087
入金,2026/02/24,千葉銀行,小見川支店,,24790,ＡＤ,,93877
入金,2026/02/24,千葉銀行,小見川支店,,13260,ＡＤ,,107137
出金,2026/02/25,千葉銀行,小見川支店,4136,,ＣＬＣリ−ス,,103001
出金,2026/02/25,千葉銀行,小見川支店,9735,,ＣＬＣリ−ス,,93266
出金,2026/02/25,千葉銀行,小見川支店,55651,,ＣＬＣリ−ス,,37615
入金,2026/02/26,千葉銀行,小見川支店,,36227,カ）リクル−ト　ペイメン,,73842
入金,2026/02/26,千葉銀行,小見川支店,,4580,ＡＤ,,78422
入金,2026/02/27,千葉銀行,小見川支店,,109481,ＡＩＲペイＱＲ／カ）デ,,187903
入金,2026/02/27,千葉銀行,小見川支店,,15670,ＡＤ,,203573
出金,2026/02/27,千葉銀行,小見川支店,1103,,ＣＤ,,202470
入金,2026/02/27,千葉銀行,小見川支店,,252768,フツウ　ＷＥＢフリカエ,,455238
出金,2026/02/27,千葉銀行,小見川支店,284659,,フツウ　ＷＥＢフリカエ,,170579
