利用日,利用店名,利用額,取引種類,確定／未確定,内容,領収書添付状況,領収書メモ,最終添付日,利用報告,カード名,カード下4桁,部門,セグメントタグ1,セグメントタグ2,セグメントタグ3,メモタグ,経費科目
2026/3/31,KASUMI FSLIFEGARDENKAMISU 大衆酒場りゅうちゃん,7881,売上,未確定,,未添付,,,申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2026/3/31,DP5*PRINTPAC CORPORATIO さわら十三里屋,4880,売上,未確定,,未添付,,,申請不要,さわら十三里屋,538,,,,,,
2026/3/31,SEIMIYA SAWARAMAKINOTEN さわら十三里屋リアルカード,1295,売上,未確定,,未添付,,,申請不要,さわら十三里屋リアルカード,9782,,,,,,
2026/3/30,TAIYO もも焼きJAPAN,3184,売上,未確定,,添付済み,食材,2026/4/1,申請不要,もも焼きJAPAN,207,,,,,,
2026/3/30,TAIYO タコとハイボール神栖横丁,159,売上,未確定,,未添付,,,未申請,タコとハイボール神栖横丁,4188,,,,,,
2026/3/30,TAIYO タコとハイボール神栖横丁,1619,売上,未確定,,未添付,,,未申請,タコとハイボール神栖横丁,4188,,,,,,
2026/3/30,MONOTARO.COM ビルメン事業部,7148,売上,未確定,,未添付,,,申請不要,ビルメン事業部,321,,,,,,
2026/3/30,MONOTARO.COM ビルメン事業部,9891,売上,未確定,,未添付,,,申請不要,ビルメン事業部,321,,,,,,
2026/3/30,SAKAGURAYAMANAKA 韓国酒場ハナ,59445,売上,未確定,,未添付,,,未申請,韓国酒場ハナ,7655,,,,,,
2026/3/30,TAIYO 韓国酒場ハナ,1037,売上,未確定,,未添付,,,未申請,韓国酒場ハナ,7655,,,,,,
2026/3/29,KASUMI FSLIFEGARDENKAMISU 大衆酒場りゅうちゃん,9273,売上,未確定,,未添付,,,申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2026/3/29,GIYOUMUSU-PA-KAMISUTEN 大衆酒場りゅうちゃん,3374,売上,未確定,,未添付,,,申請不要,大衆酒場りゅうちゃん,2739,,,,,,
