利用日,利用店名,利用額,取引種類,確定／未確定,内容,領収書添付状況,領収書メモ,最終添付日,利用報告,カード名,カード下4桁,部門,セグメントタグ1,セグメントタグ2,セグメントタグ3,メモタグ,経費科目
2026-04-30,TAIYO もも焼きJAPAN,8935,売上,未確定,"",添付済み,食材,2026-05-01,申請不要,もも焼きJAPAN,0207,,,,,,
2026-04-30,TAIYO タコとハイボール神栖横丁,633,売上,未確定,"",未添付,,"",未申請,タコとハイボール神栖横丁,4188,,,,,,
2026-04-30,TAIYO 大衆酒場りゅうちゃん,18030,売上,未確定,"",未添付,,"",申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2026-04-30,GIYOUMUSU-PA-KASHIMATEN 焼きたて屋コメリパワー鹿島店,1991,売上,未確定,"",添付済み,,2026-04-30,申請不要,焼きたて屋コメリパワー鹿島店,0585,,,,,,
2026-04-30,DCM 神栖横丁2,2774,売上,未確定,"",未添付,,"",申請不要,神栖横丁2,3870,,,,,,
2026-04-30,AMAZON CO JP 神栖横丁2,3780,売上,未確定,"",未添付,,"",申請不要,神栖横丁2,3870,,,,,,
2026-04-30,TAIYO 韓国酒場ハナ,2398,売上,未確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2026-04-30,SAKAGURAYAMANAKA 韓国酒場ハナ,93815,売上,未確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2026-04-28,KASUMI FSLIFEGARDENKAMISU 大衆酒場りゅうちゃん,9356,売上,未確定,"",未添付,,"",申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2026-04-28,KASUMI FM KASHIMA STADIUM 焼きたて屋コメリパワー鹿島店,699,売上,未確定,"",添付済み,,2026-04-30,申請不要,焼きたて屋コメリパワー鹿島店,0585,,,,,,
2026-04-28,AMAZON CO JP さわら十三里屋,9980,売上,未確定,"",未添付,,"",申請不要,さわら十三里屋,0538,,,,,,
2026-04-28,DCM 神栖横丁2,1531,売上,未確定,"",未添付,,"",申請不要,神栖横丁2,3870,,,,,,
2026-04-28,DAISO 神栖横丁2,440,売上,未確定,"",未添付,,"",申請不要,神栖横丁2,3870,,,,,,
2026-04-28,MONOTARO.COM さわら十三里屋リアルカード,2077,売上,未確定,"",未添付,,"",申請不要,さわら十三里屋リアルカード,9782,,,,,,
2026-04-27,TAIYO もも焼きJAPAN,4323,売上,未確定,"",添付済み,食材,2026-04-29,申請不要,もも焼きJAPAN,0207,,,,,,
2026-04-27,TAIYO タコとハイボール神栖横丁,554,売上,未確定,"",未添付,,"",未申請,タコとハイボール神栖横丁,4188,,,,,,
2026-04-27,TAIYO タコとハイボール神栖横丁,1816,売上,未確定,"",未添付,,"",未申請,タコとハイボール神栖横丁,4188,,,,,,
2026-04-27,DCM さわら十三里屋リアルカード,4358,売上,未確定,"",未添付,,"",申請不要,さわら十三里屋リアルカード,9782,,,,,,
2026-04-27,STYLEKITCHEN さわら十三里屋リアルカード,3130,売上,未確定,"",未添付,,"",申請不要,さわら十三里屋リアルカード,9782,,,,,,
2026-04-27,TAIYO 韓国酒場ハナ,1575,売上,未確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2026-04-27,MEGADONQUIJOTE TSUKUBA 韓国酒場ハナ,1680,売上,未確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2026-04-26,タイヨーオークビレッジ店 タコとハイボール神栖横丁,828,売上,確定,"",未添付,,"",未申請,タコとハイボール神栖横丁,4188,,,,,,
