利用日,利用店名,利用額,取引種類,確定／未確定,内容,領収書添付状況,領収書メモ,最終添付日,利用報告,カード名,カード下4桁,部門,セグメントタグ1,セグメントタグ2,セグメントタグ3,メモタグ,経費科目
2025-11-30,ビッグハウス　鹿嶋店 もも焼きJAPAN,3440,売上,確定,"",添付済み,食材,2025-11-30,申請不要,もも焼きJAPAN,0207,,,,,,
2025-11-30,カスミ　ＦＭ神栖 もも焼きJAPAN,1725,売上,確定,"",添付済み,食材,2025-11-30,申請不要,もも焼きJAPAN,0207,,,,,,
2025-11-30,ＤＣＭ タコとハイボール神栖横丁,2188,売上,確定,"",未添付,,"",申請不要,タコとハイボール神栖横丁,4188,,,,,,
2025-11-30,ｻｶｸﾞﾗﾔﾏﾅｶ 韓国酒場ハナ,62689,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2025-11-30,ダスキン　ご利用料金（定期サービス） さわら十三里屋,2340,売上,確定,"",未添付,,"",申請不要,さわら十三里屋,0538,,,,,,
2025-11-30,ｱﾎﾟﾛｽﾃ-ｼﾖﾝ 鳥害対策課,1152,売上,確定,"",未添付,,"",申請不要,鳥害対策課,0819,,,,,,
2025-11-29,ﾘｶ-ｱﾝﾄﾞﾌ-ｽﾞﾋｼﾔ もも焼きJAPAN,10395,売上,確定,"",添付済み,酒,2025-11-30,申請不要,もも焼きJAPAN,0207,,,,,,
2025-11-29,タイヨーオークビレッジ店 もも焼きJAPAN,4494,売上,確定,"",添付済み,食材,2025-11-30,申請不要,もも焼きJAPAN,0207,,,,,,
2025-11-29,タイヨー神栖店 タコとハイボール神栖横丁,2713,売上,確定,"",未添付,,"",申請不要,タコとハイボール神栖横丁,4188,,,,,,
2025-11-29,タイヨー神栖店 韓国酒場ハナ,955,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2025-11-29,ベストリカー神栖店 タコとハイボール神栖横丁,254,売上,確定,"",未添付,,"",申請不要,タコとハイボール神栖横丁,4188,,,,,,
2025-11-29,カスミＦＳライフガーデン神栖店 大衆酒場りゅうちゃん,8722,売上,確定,"",添付済み,,2025-12-01,申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2025-11-28,ＡＭＡＺＯＮ．ＣＯ．ＪＰ 韓国酒場ハナ,6980,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2025-11-28,ＡＭＡＺＯＮ．ＣＯ．ＪＰ 韓国酒場ハナ,10800,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2025-11-28,コメリＰＷ鹿嶋店１０１３ もも焼きJAPAN,944,売上,確定,"",添付済み,,2025-11-29,申請不要,もも焼きJAPAN,0207,,,,,,
2025-11-28,タイヨーオークビレッジ店 もも焼きJAPAN,2562,売上,確定,"",添付済み,食材,2025-11-29,申請不要,もも焼きJAPAN,0207,,,,,,
2025-11-28,ＭＥＧＡドン・キホーテＵＮＹ佐原東店＊ さわら十三里屋リアルカード,644,売上,確定,"",未添付,,"",申請不要,さわら十三里屋リアルカード,9782,,,,,,
2025-11-28,ＡＭＡＺＯＮ．ＣＯ．ＪＰ さわら十三里屋リアルカード,2546,売上,確定,"",未添付,,"",申請不要,さわら十三里屋リアルカード,9782,,,,,,
2025-11-28,タイヨー神栖店 大衆酒場りゅうちゃん,9262,売上,確定,"",添付済み,,2025-12-01,申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2025-11-28,ベストリカー神栖店 大衆酒場りゅうちゃん,16438,売上,確定,"",添付済み,,2025-12-01,申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2025-11-27,ｶｲﾓﾝﾄﾞｺﾛ          (ﾗｸﾃﾝ もも焼きJAPAN,3049,売上,確定,酒,添付済み,,2025-11-29,申請不要,もも焼きJAPAN,0207,,,,,,
2025-11-27,ＭｏｎｏｔａＲＯ．ｃｏｍ ビルメン事業部,13511,売上,確定,"",未添付,,"",申請不要,ビルメン事業部,0321,,,,,,
2025-11-27,道の駅くりもと　紅小町の郷 さわら十三里屋リアルカード,1206,売上,確定,"",未添付,,"",申請不要,さわら十三里屋リアルカード,9782,,,,,,
2025-11-27,タイヨーオークビレッジ店 もも焼きJAPAN,9429,売上,確定,"",添付済み,食材 / 食材,2025-11-29,申請不要,もも焼きJAPAN,0207,,,,,,
