利用日,利用店名,利用額,取引種類,確定／未確定,内容,領収書添付状況,領収書メモ,最終添付日,利用報告,カード名,カード下4桁,部門,セグメントタグ1,セグメントタグ2,セグメントタグ3,メモタグ,経費科目
2026-05-31,タイヨーオークビレッジ店 もも焼きJAPAN,4312,売上,確定,"",添付済み,食材,2026-06-01,申請不要,もも焼きJAPAN,0207,,,,,,
2026-05-31,タイヨー神栖店 タコとハイボール神栖横丁,774,売上,確定,"",未添付,,"",未申請,タコとハイボール神栖横丁,4188,,,,,,
2026-05-31,酒蔵やまなか 大衆酒場りゅうちゃん,267896,売上,確定,"",添付済み,,2026-06-01,申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2026-05-31,タイヨー神栖店 大衆酒場りゅうちゃん,11434,売上,確定,"",添付済み,,2026-06-01,申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2026-05-31,ダスキン　ご利用料金（定期サービス） さわら十三里屋,2340,売上,確定,"",未添付,,"",申請不要,さわら十三里屋,0538,,,,,,
2026-05-31,ｴﾈｵｽ-ｴｽｴｽ 鳥害対策課,104,売上,確定,"",未添付,,"",申請不要,鳥害対策課,0819,,,,,,
2026-05-31,ｴﾈｵｽ-ｴｽｴｽ 鳥害対策課,46,売上,確定,"",未添付,,"",申請不要,鳥害対策課,0819,,,,,,
2026-05-31,酒蔵やまなか 韓国酒場ハナ,66916,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2026-05-31,タイヨー神栖店 韓国酒場ハナ,1814,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2026-05-31,タイヨー神栖店 韓国酒場ハナ,404,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2026-05-30,酒蔵やまなか もも焼きJAPAN,4293,売上,確定,"",添付済み,食材,2026-05-31,申請不要,もも焼きJAPAN,0207,,,,,,
2026-05-30,タイヨー波崎店 もも焼きJAPAN,1933,売上,確定,"",添付済み,食材,2026-05-31,申請不要,もも焼きJAPAN,0207,,,,,,
