利用日,利用店名,利用額,取引種類,確定／未確定,内容,領収書添付状況,領収書メモ,最終添付日,利用報告,カード名,カード下4桁,部門,セグメントタグ1,セグメントタグ2,セグメントタグ3,メモタグ,経費科目
2025-09-30,タイヨー　オークビレッジ店 もも焼きJAPAN,3489,売上,確定,"",添付済み,食材,2025-10-01,申請不要,もも焼きJAPAN,0207,,,,,,
2025-09-30,タイヨー　オークビレッジ店 韓国酒場ハナ,2825,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2025-09-30,ｻｶｸﾞﾗﾔﾏﾅｶ 韓国酒場ハナ,46377,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2025-09-30,タイヨー　オークビレッジ店 韓国酒場ハナ,2272,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2025-09-30,ダスキン　ご利用料金（定期サービス） さわら十三里屋,2340,売上,確定,"",未添付,,"",申請不要,さわら十三里屋,0538,,,,,,
2025-09-29,DAISO タコとハイボール神栖横丁,-110,返金,未確定,"",添付不要,,"",申請不要,タコとハイボール神栖横丁,4188,,,,,,
2025-09-29,DAISO タコとハイボール神栖横丁,110,売上,未確定,"",未添付,,"",申請不要,タコとハイボール神栖横丁,4188,,,,,,
2025-09-29,ダイソー タコとハイボール神栖横丁,110,売上,確定,"",未添付,,"",申請不要,タコとハイボール神栖横丁,4188,,,,,,
2025-09-29,タイヨー　オークビレッジ店 タコとハイボール神栖横丁,1497,売上,確定,"",未添付,,"",申請不要,タコとハイボール神栖横丁,4188,,,,,,
2025-09-29,カスミＦＳライフガーデン神栖店 大衆酒場りゅうちゃん,13568,売上,確定,"",添付済み,,2025-10-03,申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2025-09-28,ﾖｳﾍﾞﾂｴﾝﾗｸﾃﾝｲﾁﾊﾞﾃﾝ (ﾗｸﾃﾝ もも焼きJAPAN,3976,売上,確定,"",添付済み,食材,2025-09-28,申請不要,もも焼きJAPAN,0207,,,,,,
2025-09-28,タイヨー　オークビレッジ店 もも焼きJAPAN,8368,売上,確定,"",添付済み,食材,2025-09-29,申請不要,もも焼きJAPAN,0207,,,,,,
2025-09-28,タイヨー　オークビレッジ店 タコとハイボール神栖横丁,2445,売上,確定,"",未添付,,"",申請不要,タコとハイボール神栖横丁,4188,,,,,,
2025-09-28,ＡＭＡＺＯＮ．ＣＯ．ＪＰ さわら十三里屋リアルカード,1404,売上,確定,"",未添付,,"",申請不要,さわら十三里屋リアルカード,9782,,,,,,
2025-09-27,ﾀﾝﾀﾝｼｮｯﾌﾟ         (ﾗｸﾃﾝ もも焼きJAPAN,850,売上,確定,"",添付済み,資材,2025-09-28,申請不要,もも焼きJAPAN,0207,,,,,,
2025-09-27,タイヨー　オークビレッジ店 もも焼きJAPAN,7430,売上,確定,"",添付済み,食材 / 食材,2025-09-28,申請不要,もも焼きJAPAN,0207,,,,,,
2025-09-27,ＤＣＭ タコとハイボール神栖横丁,981,売上,確定,"",未添付,,"",申請不要,タコとハイボール神栖横丁,4188,,,,,,
2025-09-27,カスミ　ＦＭ神栖 大衆酒場りゅうちゃん,6837,売上,確定,"",添付済み,,2025-10-03,申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2025-09-27,カスミ　ＦＭ鹿嶋スタジアム店 焼きたて屋コメリパワー鹿島店,1539,売上,確定,"",添付済み,,2025-10-05,申請不要,焼きたて屋コメリパワー鹿島店,0585,,,,,,
2025-09-26,ｶ)ﾐﾔｺ さわら十三里屋,6930,売上,確定,"",未添付,,"",申請不要,さわら十三里屋,0538,,,,,,
2025-09-26,ｽﾀｲﾙｷｯﾁﾝ          (ﾗｸﾃﾝ さわら十三里屋リアルカード,2770,売上,確定,"",未添付,,"",申請不要,さわら十三里屋リアルカード,9782,,,,,,
2025-09-26,ﾐｿﾉﾔﾗｸﾃﾝｲﾁﾊﾞﾃﾝ    (ﾗｸﾃﾝ もも焼きJAPAN,3240,売上,確定,"",添付済み,食材,2025-09-28,申請不要,もも焼きJAPAN,0207,,,,,,
2025-09-26,セイミヤ神栖店 もも焼きJAPAN,4359,売上,確定,"",添付済み,食材,2025-09-28,申請不要,もも焼きJAPAN,0207,,,,,,
2025-09-26,タイヨー神栖店 大衆酒場りゅうちゃん,14045,売上,確定,"",未添付,,"",申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2025-09-26,タイヨーベストリカー神栖店 大衆酒場りゅうちゃん,1749,売上,確定,"",添付済み,,2025-10-03,申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2025-09-26,ﾄﾀﾞｻﾝｷﾞﾖｳｲﾀｺ もも焼きJAPAN,2788,売上,確定,"",添付済み,資材,2025-09-28,申請不要,もも焼きJAPAN,0207,,,,,,
2025-09-26,タイヨー神栖店 韓国酒場ハナ,2471,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2025-09-26,ダイソー タコとハイボール神栖横丁,220,売上,確定,"",未添付,,"",申請不要,タコとハイボール神栖横丁,4188,,,,,,
2025-09-26,タイヨーベストリカー神栖店 韓国酒場ハナ,1180,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2025-09-26,タイヨー　オークビレッジ店 タコとハイボール神栖横丁,1166,売上,確定,"",未添付,,"",申請不要,タコとハイボール神栖横丁,4188,,,,,,
2025-09-25,ＡＭＡＺＯＮ．ＣＯ．ＪＰ さわら十三里屋リアルカード,2546,売上,確定,"",未添付,,"",申請不要,さわら十三里屋リアルカード,9782,,,,,,
2025-09-25,ＡＭＡＺＯＮ．ＣＯ．ＪＰ さわら十三里屋リアルカード,1328,売上,確定,"",未添付,,"",申請不要,さわら十三里屋リアルカード,9782,,,,,,
2025-09-25,タイヨーベストリカー神栖店 もも焼きJAPAN,23011,売上,確定,"",添付済み,酒,2025-09-26,申請不要,もも焼きJAPAN,0207,,,,,,
2025-09-25,タイヨー　オークビレッジ店 もも焼きJAPAN,5673,売上,確定,"",添付済み,食材,2025-09-26,申請不要,もも焼きJAPAN,0207,,,,,,
2025-09-25,セイミヤ佐原牧野店 さわら十三里屋リアルカード,2148,売上,確定,"",未添付,,"",申請不要,さわら十三里屋リアルカード,9782,,,,,,
2025-09-25,タイヨー　オークビレッジ店 韓国酒場ハナ,1827,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2025-09-25,カスミ　ＦＭ神栖 大衆酒場りゅうちゃん,3344,売上,確定,"",添付済み,,2025-10-03,申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2025-09-24,ミトエクセル もも焼きJAPAN,31202,売上,確定,"",添付済み,酒,2025-09-25,申請不要,もも焼きJAPAN,0207,,,,,,
2025-09-23,松のや　茂原店 鳥害対策課,4280,売上,確定,"",未添付,,"",申請不要,鳥害対策課,0819,,,,,,
2025-09-23,セリア　カスミ神栖店 もも焼きJAPAN,1100,売上,確定,"",添付済み,資材,2025-09-24,申請不要,もも焼きJAPAN,0207,,,,,,
2025-09-23,コスモ石油 鳥害対策課,1673,売上,確定,"",未添付,,"",申請不要,鳥害対策課,0819,,,,,,
2025-09-23,コスモ石油 鳥害対策課,3275,売上,確定,"",未添付,,"",申請不要,鳥害対策課,0819,,,,,,
2025-09-22,MONOTARO.COM 鳥害対策課,-23078,返金,未確定,"",添付不要,,"",申請不要,鳥害対策課,0819,,,,,,
2025-09-22,タイヨーベストリカー　鹿島店 もも焼きJAPAN,1544,売上,確定,"",添付済み,,2025-09-23,申請不要,もも焼きJAPAN,0207,,,,,,
2025-09-22,ダイソー もも焼きJAPAN,440,売上,確定,"",添付済み,,2025-09-23,申請不要,もも焼きJAPAN,0207,,,,,,
2025-09-22,タイヨー　オークビレッジ店 もも焼きJAPAN,3203,売上,確定,"",添付済み,食材,2025-09-23,申請不要,もも焼きJAPAN,0207,,,,,,
2025-09-22,タイヨー神栖店 タコとハイボール神栖横丁,3144,売上,確定,"",未添付,,"",申請不要,タコとハイボール神栖横丁,4188,,,,,,
2025-09-22,タイヨー神栖店 韓国酒場ハナ,1652,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2025-09-22,タイヨーベストリカー神栖店 韓国酒場ハナ,181,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2025-09-22,タイヨーベストリカー神栖店 タコとハイボール神栖横丁,3231,売上,確定,"",未添付,,"",申請不要,タコとハイボール神栖横丁,4188,,,,,,
2025-09-21,カインズホーム 鳥害対策課,17778,売上,確定,"",未添付,,"",申請不要,鳥害対策課,0819,,,,,,
2025-09-21,ｷﾞﾖｳﾑｽ-ﾊﾟ-ｶﾐｽﾃﾝ 韓国酒場ハナ,2307,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2025-09-21,ｾﾘｱ ﾗｲﾌｶﾞ-ﾃﾞﾝｶﾐｽﾃﾝ 韓国酒場ハナ,330,売上,確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2025-09-21,タイヨー神栖店 大衆酒場りゅうちゃん,12228,売上,確定,"",未添付,,"",申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2025-09-21,タイヨーベストリカー神栖店 大衆酒場りゅうちゃん,6569,売上,確定,"",添付済み,,2025-10-03,申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2025-09-20,MONOTARO.COM 鳥害対策課,23078,売上,未確定,"",添付不要,,"",申請不要,鳥害対策課,0819,,,,,,
2025-09-20,ﾀﾞｿﾞｰﾝ･ｼﾞｬﾊﾟﾝ･ｲﾝﾍﾞｽﾄﾒﾝﾄ 神栖横丁,3200,売上,確定,"",未添付,,"",申請不要,神栖横丁,8772,,,,,,
